first_name,last_name,email,ip_address,company,web_address,phone_number,candy_one,candy_two,candy_three,date
Ruth,Bowman,rbowman0@creativecommons.org,207.93.47.58,Brainbox,https://cpanel.net,63-(667)599-2046,twizzler,snickers,skittles,2016-08-21T20:21:09Z
Michael,Sanders,msanders1@istockphoto.com,68.135.139.231,Lazzy,https://wired.com,212-(630)422-1087,gum,snickers,skittles,2016-02-19T20:12:34Z
Roger,Crawford,rcrawford2@icio.us,81.63.47.65,Photobug,http://geocities.jp,7-(705)521-8057,gum,1000 grand,skittles,2016-02-28T08:02:48Z
Martin,Howard,mhoward3@imgur.com,25.92.74.13,Rooxo,https://springer.com,56-(405)712-6797,sour patch,snickers,kit kat,2016-03-17T02:42:37Z
Justin,Stewart,jstewart4@freewebs.com,33.105.170.73,Tazz,http://imdb.com,86-(838)234-8777,gum,1000 grand,kit kat,2016-10-21T06:02:50Z
Virginia,Jordan,vjordan5@foxnews.com,225.86.164.183,Mita,http://comsenz.com,351-(556)197-6220,gum,snickers,twix,2016-10-15T09:25:33Z
Eric,Griffin,egriffin6@answers.com,164.83.236.164,Dabshots,http://squidoo.com,86-(306)472-2217,sour patch,snickers,kit kat,2016-04-12T03:02:32Z
Kathy,Fernandez,kfernandez7@engadget.com,231.226.176.196,Leexo,https://time.com,86-(105)553-0998,gum,snickers,skittles,2016-02-13T17:08:41Z
Bobby,Ryan,bryan8@telegraph.co.uk,100.59.184.107,Skiba,http://google.de,420-(784)662-3527,sour patch,snickers,twix,2016-09-01T12:07:35Z
Betty,Mendoza,bmendoza9@blog.com,130.132.158.66,Skyndu,http://huffingtonpost.com,48-(130)866-5755,gum,1000 grand,twix,2016-10-07T04:35:22Z
Clarence,Fisher,cfishera@mozilla.com,139.47.242.157,Roodel,http://dot.gov,33-(858)916-0685,hard candy,milky way,twix,2016-02-25T12:43:05Z
Lisa,Smith,lsmithb@blogtalkradio.com,38.207.252.232,Mybuzz,https://scientificamerican.com,86-(882)508-6576,sour patch,snickers,kit kat,2016-11-24T06:53:26Z
Antonio,Lynch,alynchc@wunderground.com,179.219.54.221,Zoombox,https://zimbio.com,62-(958)557-5643,twizzler,snickers,twix,2016-03-27T08:58:03Z
Kathryn,Berry,kberryd@mtv.com,113.206.110.16,Yodoo,https://narod.ru,62-(930)942-8628,gum,milky way,kit kat,2016-07-06T13:47:43Z
